code,code_two,latin_name,type,ever_dec,lat,long,age,dbh,canopy_pos,chl,lma,ldcm,A,Dark_resp,E,g,comments
APS,Naturalised,Acer pseudoplatanus,Naturalised,Deciduous,55.9647,-3.211533,55,85,L,45.5,59.4022,0.3505,12.77,0.46,5.41,66,
CS,Naturalised,Castanea sativa,Naturalised,Deciduous,55.964917,-3.209267,55,159,U,36.4,78.8859,0.3211,16.68,-0.53,4.54,61.49,
CS,Naturalised,Castanea sativa,Naturalised,Deciduous,55.964917,-3.209267,55,159,U,40.3,87.454,0.3995,14.59,0.35,6.73,93.26,
CS,Naturalised,Castanea sativa,Naturalised,Deciduous,55.964917,-3.209267,55,159,U,41.6,90.3418,0.3663,12.86,-0.31,4.62,91.69,
CS,Naturalised,Castanea sativa,Naturalised,Deciduous,55.964917,-3.209267,55,159,L,39.6,57.0448,0.3976,14.59,0.08,6.32,59.25,
CS,Naturalised,Castanea sativa,Naturalised,Deciduous,55.964917,-3.209267,55,159,L,41.6,52.9102,0.3843,13.8,0.02,6.82,89.11,
CS,Naturalised,Castanea sativa,Naturalised,Deciduous,55.964917,-3.209267,55,159,L,39.3,61.3214,0.3398,14.79,0.12,6.46,72.54,
FSA,Naturalised,Fagus sylvatica Atropurpurea,Naturalised,Deciduous,55.96471,-3.208967,66,111.5,U,40.9,74.1859,0.471,10.97,-0.68,7.64,75.25,
FSA,Naturalised,Fagus sylvatica Atropurpurea,Naturalised,Deciduous,55.96471,-3.208967,66,111.5,U,40.5,72.8993,0.4303,8.68,-0.29,8.05,91.32,
FSA,Naturalised,Fagus sylvatica Atropurpurea,Naturalised,Deciduous,55.96471,-3.208967,66,111.5,U,40.9,68.8109,0.4901,9.34,0.13,5.1,62.11,
FSA,Naturalised,Fagus sylvatica Atropurpurea,Naturalised,Deciduous,55.96471,-3.208967,66,111.5,L,37.2,39.3979,0.3762,9.71,0.57,6.8,74.37,
FSA,Naturalised,Fagus sylvatica Atropurpurea,Naturalised,Deciduous,55.96471,-3.208967,66,111.5,L,37.6,44.2207,0.4255,11.17,0.74,6.54,94.87,
FSA,Naturalised,Fagus sylvatica Atropurpurea,Naturalised,Deciduous,55.96471,-3.208967,66,111.5,L,37.3,42.4569,0.4136,9.43,0.45,5.81,66.61,
MP,Naturalised,Malus pumila,Naturalised,Deciduous,55.963382,-3.209,117,22,U,36.4,81.8349,0.4195,7.44,-1.37,8.76,60.53,
MP,Naturalised,Malus pumila,Naturalised,Deciduous,55.963382,-3.209,117,22,U,33.2,74.5858,0.3473,8.55,-1.42,7.21,58.22,
MP,Naturalised,Malus pumila,Naturalised,Deciduous,55.963382,-3.209,117,22,U,36.1,76.8262,0.3616,7.62,-1.07,6.51,76.96,
MP,Naturalised,Malus pumila,Naturalised,Deciduous,55.963382,-3.209,117,22,L,36.3,47.737,0.3978,14.72,-0.5,5.27,55.47,
MP,Naturalised,Malus pumila,Naturalised,Deciduous,55.963382,-3.209,117,22,L,39.2,56.3919,0.4294,12.87,-0.45,4.67,57.77,
MP,Naturalised,Malus pumila,Naturalised,Deciduous,55.963382,-3.209,117,22,L,37.3,45.4237,0.4057,11.02,-0.11,5.81,89.55,
